frame.number,frame.time_relative,ip.src,ip.dst,tcp.len,tcp.payload
166,39.604321100,192.168.95.41,192.168.95.42,111,0010006b3130310a31392e30332e323032365f31313a31313a31340a3130303930353134350a4d5243446574656374696f6e536561726368486f74506978656c733a3a4f6e416e737765723a20496d61676549643a20332c204e756d6265724f66486f74506978656c733a2031380a
167,39.604419800,192.168.95.42,192.168.95.41,7,00100003313031
169,39.605502500,192.168.95.41,192.168.95.42,95,000e005b3130320a31392e30332e323032365f31313a31313a31340a39300a31310a2038380a20300a20496e697469616c69736174696f6e206f6620496e737472756d656e742e20486f74506978656c2073656172636820646f6e652e0a0a
170,39.605574400,192.168.95.42,192.168.95.41,7,000e0003313032
172,39.606701300,192.168.95.41,192.168.95.42,104,000e00643130330a31392e30332e323032365f31313a31313a31340a39300a31310a2038390a20300a20496e697469616c69736174696f6e206f6620496e737472756d656e742e204461726b56616c7565206d6561737572656d656e7420737461727465642e0a0a
173,39.606758800,192.168.95.42,192.168.95.41,7,000e0003313033
176,40.052910000,192.168.95.42,192.168.95.41,6,000000026869
178,40.053644100,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
181,41.054234700,192.168.95.42,192.168.95.41,6,000000026869
182,41.054850000,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
185,42.055556000,192.168.95.42,192.168.95.41,6,000000026869
186,42.056146000,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
188,43.056873800,192.168.95.42,192.168.95.41,6,000000026869
189,43.057531300,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
191,44.058188100,192.168.95.42,192.168.95.41,6,000000026869
192,44.058833600,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
194,45.059517500,192.168.95.42,192.168.95.41,6,000000026869
195,45.060169100,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
197,46.060840900,192.168.95.42,192.168.95.41,6,000000026869
198,46.061512100,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
200,47.062157300,192.168.95.42,192.168.95.41,6,000000026869
201,47.062810100,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
203,48.063491300,192.168.95.42,192.168.95.41,6,000000026869
204,48.064137000,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
206,48.520247600,192.168.95.41,192.168.95.42,35,000e001f3130310a31392e30332e323032365f31313a31313a32330a3330310a330a0a
207,48.520358400,192.168.95.42,192.168.95.41,7,000e0003313031
209,48.521312100,192.168.95.41,192.168.95.42,89,001000553130320a31392e30332e323032365f31313a31313a32330a3130303930353039310a4d5243446574656374696f6e43616d657261446561637469766174653a3a4f6e53746172743a2073746f702063616d6572610a
210,48.521349400,192.168.95.42,192.168.95.41,7,00100003313032
212,48.568413300,192.168.95.41,192.168.95.42,97,0010005d3130310a31392e30332e323032365f31313a31313a32330a3130303930353039300a4d5243446574656374696f6e43616d657261446561637469766174653a3a4f6e416e737765723a2063616d6572612064656163746976617465640a
213,48.568490800,192.168.95.42,192.168.95.41,7,00100003313031
215,48.569517700,192.168.95.41,192.168.95.42,89,000e00553130320a31392e30332e323032365f31313a31313a32330a39300a31310a2039300a20300a20496e697469616c69736174696f6e206f6620496e737472756d656e742e20446574656374696f6e20646f6e652e0a0a
216,48.569607200,192.168.95.42,192.168.95.41,7,000e0003313032
218,49.064814200,192.168.95.42,192.168.95.41,6,000000026869
220,49.065520000,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
222,50.066126400,192.168.95.42,192.168.95.41,6,000000026869
223,50.066776200,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
225,51.067455200,192.168.95.42,192.168.95.41,6,000000026869
226,51.068111000,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
228,52.068784200,192.168.95.42,192.168.95.41,6,000000026869
229,52.069436700,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
